Model,PR-AUC,ROC-AUC,Precision,Recall,F1
Z-Score Baseline,0.5048501906982076,0.7659643281483524,0.5646551724137931,0.5641688199827735,0.5644118914261095
Logistic Regression,0.5379195519360028,0.8131870283033074,0.3353559870550162,0.7140396210163652,0.45637214423341593
XGBoost,0.9983579179768676,0.9997494454016193,0.9594370860927153,0.9982773471145564,0.9784719290840018
